index,fraction,train_count,detection_accuracy,detection_accuracy_std,detection_precision,detection_precision_std,detection_recall,detection_recall_std,detection_f1,detection_f1_std,sentence_accuracy,sentence_accuracy_std
0,0.0,0,0.5866666666666666,0.0058772996145225,0.5686018032011638,0.003862018016211,0.8084210526315788,0.0112718444941817,0.6676078538877354,0.0058322263025367,0.5733333333333334,0.016246788635495
1,0.1,254,0.5855855855855856,0.0013483450042428,0.6076128125668873,0.003643413367143,0.5452631578947368,0.0146866312536536,0.5746021611006885,0.0068251117354647,0.4063157894736842,0.0163976441341023
2,0.2,508,0.5971171171171171,0.0026966900084856,0.6125575773584844,0.0049903778974038,0.5866666666666668,0.0084793305077856,0.5992603643649724,0.0026524687072401,0.4540350877192982,0.0094671842548996
3,0.3,762,0.5924324324324325,0.0148492956958821,0.6175604294870349,0.0160943256590233,0.5417543859649122,0.0233379496818468,0.5770257365051155,0.0185228388357846,0.4645614035087719,0.0263134501884248
4,0.4,1016,0.5736936936936937,0.0110366795179196,0.5683941731058189,0.0089224305118545,0.7059649122807018,0.0084793305077856,0.629751855128278,0.0088484236715378,0.5649122807017544,0.0159716584936716
5,0.5,1270,0.5873873873873874,0.0174170032051813,0.6324983145335535,0.0270853164584937,0.4715789473684211,0.019823785111334,0.5399301210483974,0.0177561291167856,0.3971929824561404,0.0238390003529305
6,0.6,1524,0.5895495495495495,0.0102306807687051,0.6192298903209087,0.0120909462831499,0.5214035087719298,0.0124351194011714,0.5660677432669486,0.0111534896603791,0.4378947368421053,0.0103136410222449
7,0.7,1778,0.5877477477477479,0.0074027526429456,0.6287567017102466,0.0089114552939858,0.4814035087719299,0.0111841245266731,0.5452656147392247,0.0098492341164561,0.4070175438596491,0.0143130372311376
8,0.8,2032,0.5877477477477479,0.0106778611820029,0.5977396914503871,0.0099913938964126,0.6028070175438597,0.0143130372311376,0.6002361672454457,0.0116417103817333,0.5010526315789474,0.0163976441341023
9,0.9,2286,0.5758558558558559,0.0053933800169714,0.5916328528424354,0.0029460059893207,0.5614035087719298,0.0190122346444127,0.5760002569113977,0.0114074681653153,0.4785964912280702,0.0035782593077844
10,1.0,2540,0.6007207207207207,0.0180108093687924,0.6089729504576281,0.0183993064441497,0.6224561403508772,0.0173887883415633,0.6155628673120098,0.0164988139363636,0.520701754385965,0.01105123912142
